EstadoMunicpios,VA_Agropecuria,VA_Indstria,VA_Servios_exclusive_Administrao_Pblica,VA_Administrao_Pblica,VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,24296590644.0,1.1132113318200006e+16,6474338067100003.0,3973614317000002.0,2.400972476610001e+16,9 Rio Caeté,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete.xlsx,Rio Caeté
RI Rio Caeté,972235525.0,560961938.0,1839991233.0,2.3182533570000004e+16,5691442050999999.0,9 Rio Caeté,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete.xlsx,Rio Caeté
Augusto Corrêa,67395739.0,12547534.0,56528437.0,214920868.0,351392577.0,9 Rio Caeté,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete.xlsx,Rio Caeté
Bonito,27274154.0,5334419.0,25631105.0,64368575.0,170618023.0,9 Rio Caeté,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete.xlsx,Rio Caeté
Bragança,185794508.0,72588874.0,465163283.0,552596486.0,127614315.0,9 Rio Caeté,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete.xlsx,Rio Caeté
Cachoeira do Piriá,43546628.0,6325893.0,28274531.0,143594483.0,221741535.0,9 Rio Caeté,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete.xlsx,Rio Caeté
Capanema,144330747.0,131409545.0,669788082.0,275294979.0,1220823353.0,9 Rio Caeté,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete.xlsx,Rio Caeté
Nova Timboteua,28335388.0,5202911.0,36213303.0,68322877.0,138074479.0,9 Rio Caeté,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete.xlsx,Rio Caeté
Peixe-Boi,19299565.0,2300714.0,11423642.0,36956698.0,6998062.0,9 Rio Caeté,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete.xlsx,Rio Caeté
Primavera,5222329.0,162579987.0,33606133.0,5679253.0,258200979.0,9 Rio Caeté,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio caete.xlsx,Rio Caeté
