Par,36906,425275,1080902,163405,137455,7716788,137,97,1871,16868,169935,254341,204611,3130177,2229561,15091,261114,426150,4729,74442,90615,1089,16329,43398,1646,16122,63855,18515,41560,1248357,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Quatipuru,5,74,246,-,-,-,-,-,-,5.0,68.0,43.0,-,-,-,-,-,-,3,39,32,-,-,-,5,48,110,-,-,-,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté
Salinópolis,-,-,-,-,-,-,-,-,-,300.0,3481.0,3954.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté
Santa Luzia do Pará,120,1890,6502,-,-,-,-,-,-,200.0,2332.0,1336.0,-,-,-,20,320,419,-,-,-,-,-,-,-,-,-,200,405,14175,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté
Santarém Novo,-,-,-,-,-,-,-,-,-,20.0,250.0,237.0,-,-,-,-,-,-,-,-,-,10,200,500,-,-,-,30,83,2648,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté
São João de Pirabas,4,48,157,-,-,-,-,-,-,30.0,360.0,262.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté
Tracuateua,10,100,220,-,-,-,-,-,-,30.0,200.0,164.0,-,-,-,6,51,83,5,50,86,-,-,-,-,-,-,15,33,830,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté
Viseu,70,892,2275,-,-,-,-,-,-,95.0,576.0,640.0,-,-,-,15,135,242,10,80,165,-,-,-,5,40,160,120,252,6678,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté
Nota: A quantidade produzida de coco-da-baía é expressa em mil frutos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté
