Par,45314,52299630230049585,5921790175221786,4072251401332922,005958423445292845,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Caeté,2899.0,5561748065666614.0,6057261124525698.0,3942738875474301.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Augusto Corrêa,265.0,5567694764265904.0,569811320754717.0,430188679245283.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Bonito,65.0,5.000769349130636e+16,5538461538461539.0,4461538461538462.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Bragança,757.0,5748828590739602.0,6.103038309114928e+16,3.896961690885073e+16,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Cachoeira do Piriá,89.0,454591888854837.0,5730337078651685.0,4269662921348314.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Capanema,445.0,5948561651160303.0,6292134831460674.0,3707865168539326.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Nova Timboteua,90.0,6816116328385338.0,60.0,40.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Peixe-Boi,68.0,7860362963819211.0,6029411764705882.0,3.970588235294117e+16,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Primavera,80.0,7059654076950229.0,525.0,475.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Quatipuru,81.0,6823925863521483.0,5679012345679012.0,4320987654320987.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Salinópolis,265.0,5501577810994852.0,6113207547169811.0,3886792452830189.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Santa Luzia do Pará,101.0,4.760333694678796e+16,6831683168316832.0,3.1683168316831684e+16,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Santarém Novo,41.0,645872715816005.0,6829268292682927.0,3170731707317073.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
São João de Pirabas,126.0,5874947545111205.0,6349206349206349.0,3.6507936507936504e+16,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Tracuateua,171.0,5.630000329239786e+16,5555555555555556.0,4444444444444444.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Viseu,255.0,4114894303695336.0,6235294117647059.0,3764705882352941.0,0.0,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Fonte: DATASUS,,,,,,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
Elaboração: FAPESPA,,,,,,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,9 Rio Caeté,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio caete.xlsx,Rio Caeté
