EstadoMunicpio,Receita_Oramentria,Receita_Corrente,Receita_de_Transferncias_Correntes,Impostos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,5873641911584.0,5671654857142.0,1941808253785.0,2901290031488.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
RI Rio Caeté,2.3242101238899996e+16,22584507736.0,2.04406905246e+16,1.3324165019e+16,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Augusto Corrêa,23928033721.0,23928033721.0,22362597143.0,1125666717.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Bonito,7273537331.0,6829373411.0,6497477629.0,183254467.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Bragança,49900855481.0,47962345417.0,42925851584.0,3662143892.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Cachoeira do Piriá,13500335814.0,12779444732.0,11503960951.0,37048096.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Capanema,25764657295.0,25704998799.0,21114534488.0,2572342587.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Nova Timboteua,7344107176.0,7344107176.0,7008129762.0,198604353.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Peixe-Boi,6999211671.0,688806661.0,6469075737.0,251491889.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Primavera,7801593229.0,7639903956.0,6515187695.0,777507355.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Quatipuru,,,,,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Salinópolis,19268929011.0,19159127173.0,15893188208.0,1965334261.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Santa Luzia do Pará,10455624785.0,10175647517.0,9756602435.0,290438065.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Santarém Novo,5376557285.0,4951841639.0,4708944131.0,2274263.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
São João de Pirabas,11027770353.0,987707528.0,9355073012.0,234361355.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Tracuateua,13882368888.0,13270800562.0,12740557959.0,299776731.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Viseu,29897430349.0,29334311367.0,27555724512.0,1165336087.0,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Fonte: STN-FINBRA,,,,,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
Elaboração: FAPESPA,,,,,9 Rio Caeté,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri rio caete.xlsx",Rio Caeté
