EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,,,100.0,,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
RI Rio Caeté,8368944128999999.0,10.0,,3.2877858312071636e+16,100.0,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
Augusto Corrêa,490156571.0,85.0,6.0,1.925607106902085e+16,5856850797958052.0,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
Bonito,147258247.0,132.0,12.0,5785121403037200.0,1.7595797597658932e+16,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
Bragança,1977329959.0,25.0,1.0,7768049735562577.0,236269943797112.0,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
Cachoeira do Piriá,237908343.0,121.0,9.0,9346360391281970.0,2842752195890541.0,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
Capanema,1883282118.0,27.0,2.0,7398577608219827.0,2250322249701806.0,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
Nova Timboteua,185076503.0,128.0,11.0,727083243565014.0,2211467780728448.0,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
Peixe-Boi,100656898.0,142.0,14.0,3954361720624940.0,1.2027430993499468e+16,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
Primavera,564056454.0,78.0,5.0,2.215926870674124e+16,6739875966496611.0,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
Quatipuru,147129344.0,133.0,13.0,5.78005737763009e+16,1.7580395057265176e+16,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
Salinópolis,802287288.0,56.0,4.0,3151829833471722.0,9586481587562766.0,9 Rio Caeté,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio caete.xlsx",Rio Caeté
