EstadoMunicpios,Leite_Mil_litros,Ovos_de_galinha_Mil_dzias,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,511007.0,39437.0,29,745689.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
RI Rio Caeté,1582.0,313.0,4,201968.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Augusto Corrêa,13.0,12.0,-,5000.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Bonito,105.0,16.0,-,1050.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Bragança,52.0,77.0,-,35120.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Cachoeira do Piriá,34.0,13.0,-,16500.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Capanema,298.0,24.0,4,5900.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Nova Timboteua,169.0,30.0,-,10000.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Peixe-Boi,69.0,29.0,-,10000.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Primavera,41.0,6.0,-,8338.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Quatipuru,41.0,6.0,-,3960.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Salinópolis,4.0,6.0,-,10000.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Santa Luzia do Pará,652.0,31.0,-,11500.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Santarém Novo,16.0,5.0,-,20000.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
São João de Pirabas,28.0,4.0,-,22000.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Tracuateua,19.0,21.0,-,20600.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Viseu,41.0,33.0,-,22000.0,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Fonte: IBGE/PPM,,,,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Elaboração: FAPESPA,,,,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté
