EstadoMunicpio,Bovino,Bubalino,Equino,Suno__total,Suno__matrizes_de_sunos,Caprino,Ovino,Galinceos__Total,Galinceos__galinhas,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,25557665.0,775075.0,499639.0,587143.0,93157.0,61762.0,284632.0,26827658.0,2955828.0,1980,9 Rio Caeté,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete.xlsx,Rio Caeté
RI Rio Caeté,412016.0,12714.0,10411.0,15978.0,1236.0,2520.0,6924.0,496390.0,47116.0,630,9 Rio Caeté,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete.xlsx,Rio Caeté
Augusto Corrêa,4138.0,54.0,250.0,985.0,68.0,386.0,280.0,24760.0,1820.0,-,9 Rio Caeté,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete.xlsx,Rio Caeté
Bonito,11523.0,32.0,339.0,384.0,34.0,,160.0,9280.0,2190.0,-,9 Rio Caeté,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete.xlsx,Rio Caeté
Bragança,47559.0,409.0,1630.0,3690.0,210.0,186.0,668.0,286500.0,11600.0,-,9 Rio Caeté,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete.xlsx,Rio Caeté
Cachoeira do Piriá,55636.0,246.0,1573.0,1096.0,85.0,442.0,1065.0,28600.0,2620.0,-,9 Rio Caeté,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete.xlsx,Rio Caeté
Capanema,27865.0,1357.0,874.0,1451.0,49.0,159.0,731.0,11583.0,3375.0,630,9 Rio Caeté,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete.xlsx,Rio Caeté
Nova Timboteua,22759.0,1327.0,497.0,834.0,185.0,49.0,447.0,20476.0,4446.0,-,9 Rio Caeté,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete.xlsx,Rio Caeté
Peixe-Boi,17760.0,210.0,805.0,1421.0,176.0,61.0,784.0,8037.0,3890.0,-,9 Rio Caeté,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete.xlsx,Rio Caeté
Primavera,5897.0,761.0,113.0,102.0,15.0,16.0,34.0,3315.0,997.0,-,9 Rio Caeté,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri caete.xlsx,Rio Caeté
