Par,118515,09770915074041261,17936126228747415,28677382609796226,24599417795215793,1656330422309412,870185208623381,25439817744589295,00008437750495717842,27655302109597697,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Caeté,6784.0,1.1497641509433962e+16,2106426886792453.0,3.010023584905661e+16,2379127358490566.0,1.4489976415094338e+16,7340801886792453.0,2063679245283019.0,0.0,3296760219400313.0,9 Rio Caeté,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete.xlsx,Rio Caeté
Augusto Corrêa,708.0,1.2711864406779664e+16,2.231638418079096e+16,327683615819209.0,2.1045197740112996e+16,1327683615819209.0,7909604519774012.0,1.4124293785310736e+16,0.0,530926968652828.0,9 Rio Caeté,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete.xlsx,Rio Caeté
Bonito,170.0,0.0,1.5294117647058824e+16,3.5294117647058824e+16,2.4705882352941176e+16,1.7647058823529412e+16,7.058823529411765e+16,0.0,0.0,1.1540236959532236e+16,9 Rio Caeté,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete.xlsx,Rio Caeté
Bragança,1793.0,1.6731734523145568e+16,2007808142777468.0,3.0117122141662016e+16,2448410485220301.0,1.4612381483547128e+16,6915783602900167.0,2119353039598438.0,0.0,3.4014535347321896e+16,9 Rio Caeté,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete.xlsx,Rio Caeté
Cachoeira do Piriá,257.0,1.1673151750972764e+16,2.8404669260700388e+16,3307392996108949.0,2.295719844357977e+16,8560311284046692.0,3.891050583657588e+16,1.9455252918287936e+16,0.0,398406374501992.0,9 Rio Caeté,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete.xlsx,Rio Caeté
Capanema,884.0,4524886877828055.0,167420814479638.0,2737556561085973.0,2.52262443438914e+16,1.821266968325792e+16,9389140271493212.0,2.6018099547511316e+16,0.0,5159875949096353.0,9 Rio Caeté,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete.xlsx,Rio Caeté
Nova Timboteua,121.0,8264462809917356.0,1.1570247933884298e+16,3.4710743801652896e+16,2.6446280991735536e+16,1.7355371900826448e+16,743801652892562.0,1.6528925619834712e+16,0.0,5717964253256589.0,9 Rio Caeté,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete.xlsx,Rio Caeté
Peixe-Boi,71.0,1.4084507042253522e+16,2112676056338028.0,3.0985915492957744e+16,2.5352112676056336e+16,1.6901408450704224e+16,2.8169014084507044e+16,1.4084507042253522e+16,0.0,1988209455554271.0,9 Rio Caeté,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete.xlsx,Rio Caeté
Primavera,126.0,0.0,1.507936507936508e+16,2.6190476190476196e+16,3333333333333333.0,1.3492063492063492e+16,7936507936507936.0,3968253968253968.0,0.0,769502294387575.0,9 Rio Caeté,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete.xlsx,Rio Caeté
Quatipuru,130.0,2307692307692308.0,2230769230769231.0,3230769230769231.0,2.307692307692308e+16,1.4615384615384616e+16,3.846153846153846e+16,1.5384615384615384e+16,0.0,4667228306655434.0,9 Rio Caeté,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio caete.xlsx,Rio Caeté
