Par,col,1,3344,437,3782,1_2,19,6505,681,7206,3,480,7663,747,8893,21,718,2,261,1002,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Caeté,-,-,256.0,11,267.0,-,-,500.0,25,525.0,-,49,610.0,26,685.0,1,56.0,-,10,67.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Augusto Corrêa,-,-,14.0,1,15.0,-,-,44.0,1,45.0,-,-,71.0,1,72.0,-,5.0,-,-,5.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Bonito,-,-,17.0,-,17.0,-,-,24.0,1,25.0,-,3,25.0,1,29.0,-,2.0,-,-,2.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Bragança,-,-,15.0,5,20.0,-,-,75.0,6,81.0,-,22,121.0,7,150.0,1,16.0,-,3,20.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Cachoeira do Piriá,-,-,33.0,-,33.0,-,-,42.0,-,42.0,-,-,45.0,-,45.0,-,3.0,-,-,3.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Capanema,-,-,23.0,3,26.0,-,-,32.0,12,44.0,-,13,26.0,12,51.0,-,10.0,-,5,15.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Nova Timboteua,-,-,15.0,-,15.0,-,-,17.0,-,17.0,-,-,22.0,-,22.0,-,2.0,-,-,2.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Peixe-Boi,-,-,8.0,-,8.0,-,-,9.0,-,9.0,-,-,12.0,-,12.0,-,2.0,-,-,2.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Primavera,-,-,5.0,-,5.0,-,-,8.0,-,8.0,-,2,7.0,-,9.0,-,1.0,-,-,1.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Quatipuru,-,-,9.0,-,9.0,-,-,10.0,-,10.0,-,2,10.0,-,12.0,-,2.0,-,-,2.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Salinópolis,-,-,22.0,2,24.0,-,-,22.0,3,25.0,-,7,24.0,3,34.0,-,4.0,-,2,6.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Santa Luzia do Pará,-,-,1.0,-,1.0,-,-,27.0,1,28.0,-,-,29.0,1,30.0,-,1.0,-,-,1.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Santarém Novo,-,-,1.0,-,1.0,-,-,11.0,-,11.0,-,-,13.0,-,13.0,-,1.0,-,-,1.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
São João de Pirabas,-,-,,-,,-,-,31.0,-,31.0,-,-,33.0,-,33.0,-,1.0,-,-,1.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Tracuateua,-,-,3.0,-,3.0,-,-,54.0,1,55.0,-,-,59.0,1,60.0,-,2.0,-,-,2.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Viseu,-,-,90.0,-,90.0,-,-,94.0,-,94.0,-,-,113.0,-,113.0,-,4.0,-,-,4.0,9 Rio Caeté,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
