EstadoMunicpios,Masculino,Feminino,Razo_de_Sexos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,4373481.0,4337715.0,1008245354985286.0,9 Rio Caeté,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté.xlsx,Rio Caeté
RI Rio Caeté,266433.0,257012.0,1.0366558759902264e+16,9 Rio Caeté,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté.xlsx,Rio Caeté
Augusto Corrêa,24675.0,23237.0,1.061884064207944e+16,9 Rio Caeté,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté.xlsx,Rio Caeté
Bonito,6684.0,6277.0,1.0648398916679942e+16,9 Rio Caeté,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté.xlsx,Rio Caeté
Bragança,66735.0,65754.0,1.0149192444566112e+16,9 Rio Caeté,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté.xlsx,Rio Caeté
Cachoeira do Piriá,10240.0,8983.0,1.1399309807414004e+16,9 Rio Caeté,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté.xlsx,Rio Caeté
Capanema,36980.0,38329.0,9648047170549714.0,9 Rio Caeté,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté.xlsx,Rio Caeté
Nova Timboteua,6713.0,6462.0,103884246363355.0,9 Rio Caeté,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté.xlsx,Rio Caeté
Peixe-Boi,4428.0,4258.0,1039924847346172.0,9 Rio Caeté,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté.xlsx,Rio Caeté
Primavera,5776.0,5603.0,1030876316259147.0,9 Rio Caeté,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_caeté.xlsx,Rio Caeté
