EstadoMunicpios,Ovos_de_codorna_Mil_dzias,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,29,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,511007.0
RI Rio Caeté,4,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,1582.0
Augusto Corrêa,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,13.0
Bonito,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,105.0
Bragança,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,52.0
Cachoeira do Piriá,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,34.0
Capanema,4,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,298.0
Nova Timboteua,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,169.0
Peixe-Boi,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,69.0
Primavera,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,41.0
Quatipuru,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,41.0
Salinópolis,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,4.0
Santa Luzia do Pará,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,652.0
Santarém Novo,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,16.0
São João de Pirabas,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,28.0
Tracuateua,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,19.0
Viseu,-,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,41.0
Fonte: IBGE/PPM,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,
Elaboração: FAPESPA,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Leite_Mil_litros,
Pará,29,9 Rio Caeté,46,Producao de Origem Animal por Tipo - 2024 ri caete,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri caete.xlsx,Rio Caeté,Ovos_de_galinha_Mil_dzias,39437.0
