EstadoMunicpios,0_a_4_anos,5_a_9_anos,10_a_14_anos,15_a_19_anos,20_a_29_anos,30_a_39_anos,40_a_49_anos,50_a_59_anos,60_a_69_anos,70_a_79_anos,80_anos_e_mais,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,626870.0,674284.0,698269.0,751277.0,1500057.0,1371170.0,1229538.0,858403.0,571207.0,301884.0,128237.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
RI Rio Caeté,36517.0,39859.0,43141.0,47342.0,86796.0,80551.0,73598.0,51487.0,35603.0,19732.0,8819.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Augusto Corrêa,3813.0,4081.0,4579.0,4871.0,8265.0,7137.0,5983.0,4115.0,2845.0,1545.0,678.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Bonito,868.0,933.0,947.0,1111.0,2220.0,2077.0,1886.0,1329.0,897.0,484.0,209.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Bragança,9325.0,10130.0,10888.0,12056.0,22446.0,20787.0,18719.0,12790.0,8538.0,4756.0,2054.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Cachoeira do Piriá,1568.0,1673.0,1741.0,1954.0,3470.0,2875.0,2430.0,1671.0,1124.0,534.0,183.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Capanema,4535.0,5100.0,5473.0,5990.0,12489.0,12256.0,11383.0,8125.0,5504.0,3049.0,1405.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Nova Timboteua,663.0,793.0,900.0,1006.0,1867.0,1979.0,2038.0,1631.0,1213.0,738.0,347.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Peixe-Boi,466.0,547.0,620.0,691.0,1229.0,1244.0,1408.0,982.0,840.0,442.0,217.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Primavera,759.0,840.0,873.0,909.0,1684.0,1708.0,1698.0,1212.0,875.0,552.0,269.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Quatipuru,761.0,858.0,915.0,986.0,1737.0,1611.0,1773.0,1379.0,1019.0,535.0,264.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Salinópolis,3295.0,3527.0,3596.0,3993.0,8230.0,7957.0,7310.0,5017.0,3211.0,1781.0,746.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Santa Luzia do Pará,1468.0,1584.0,1727.0,1971.0,3590.0,3205.0,2947.0,2125.0,1447.0,831.0,400.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Santarém Novo,429.0,461.0,462.0,512.0,995.0,967.0,920.0,692.0,476.0,299.0,142.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
São João de Pirabas,1450.0,1600.0,1696.0,1819.0,3235.0,3209.0,3107.0,2265.0,1633.0,988.0,475.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Tracuateua,2028.0,2293.0,2600.0,2817.0,4712.0,4608.0,4362.0,3085.0,2257.0,1199.0,533.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Viseu,5089.0,5439.0,6124.0,6656.0,10627.0,8931.0,7634.0,5069.0,3724.0,1999.0,897.0,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,,,,,,,,,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
Elaboração: FAPESPA,,,,,,,,,,,,9 Rio Caeté,3,População_por_Faixa_Etária_-_2025_ri_rio_caeté,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_caeté.xlsx,Rio Caeté
