EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
São João de Pirabas,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,1820151942687437.0
Tracuateua,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,2.9575233556879932e+16
Viseu,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,3755400108370956.0
Fonte: FAPESPA/IBGE,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,
Elaboração: FAPESPA,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,
Pará,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Indstria,4636501845251364.0
RI Rio Caeté,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Indstria,9856235607308656.0
Augusto Corrêa,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Indstria,3570802236952205.0
Bonito,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Indstria,3.126527260253157e+16
Bragança,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Indstria,5688145095634452.0
Cachoeira do Piriá,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Indstria,2.8528227695366136e+16
Capanema,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Indstria,1.0764009770707592e+16
