Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Caeté,2899.0,155.0,427.0,41.0,861.0,327.0,123.0,1934.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Augusto Corrêa,265.0,9.0,39.0,2.0,93.0,22.0,15.0,180.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Bonito,65.0,1.0,7.0,0.0,19.0,11.0,3.0,41.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Bragança,757.0,52.0,103.0,6.0,262.0,93.0,32.0,548.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Cachoeira do Piriá,89.0,5.0,12.0,0.0,28.0,10.0,4.0,59.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Capanema,445.0,20.0,64.0,5.0,123.0,54.0,16.0,282.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Nova Timboteua,90.0,3.0,17.0,3.0,24.0,15.0,4.0,66.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Peixe-Boi,68.0,5.0,10.0,1.0,14.0,13.0,2.0,45.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Primavera,80.0,4.0,13.0,1.0,24.0,9.0,2.0,53.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Quatipuru,81.0,6.0,18.0,2.0,22.0,7.0,6.0,61.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Salinópolis,265.0,16.0,51.0,6.0,61.0,32.0,17.0,183.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Santa Luzia do Pará,101.0,4.0,10.0,2.0,24.0,3.0,2.0,45.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Santarém Novo,41.0,3.0,7.0,0.0,7.0,10.0,1.0,28.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
São João de Pirabas,126.0,8.0,25.0,5.0,34.0,12.0,4.0,88.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Tracuateua,171.0,9.0,23.0,5.0,55.0,15.0,8.0,115.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Viseu,255.0,10.0,28.0,3.0,71.0,21.0,7.0,140.0,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Fonte: DATASUS,,,,,,,,,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
Elaboração: FAPESPA,,,,,,,,,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,,,9 Rio Caeté,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio caete.xlsx,Rio caeté
