EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Quatipuru,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,1095.0
Salinópolis,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,1136.0
Santa Luzia do Pará,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,893.0
Santarém Novo,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,542.0
São João de Pirabas,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,3118.0
Tracuateua,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,94.0
Viseu,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,11026.0
Fonte: INPE/PRODES,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,
Elaboração: FAPESPA,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,
Pará,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,439279.0
RI Rio Caeté,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,4.369e+16
Augusto Corrêa,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,763.0
Bonito,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,0.0
Bragança,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,562.0
Cachoeira do Piriá,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,84.0
Capanema,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,24.0
Nova Timboteua,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,4.0
Peixe-Boi,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,Hidrografia_km,37.0
