Par,1445663,27792,117832,9307,99624,261547,444602,423642,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Caeté,59071.0,90,2353.0,175,1941.0,9769.0,9063.0,33667.0,2013.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Augusto Corrêa,3188.0,-,14.0,5,16.0,156.0,117.0,2875.0,5.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Bonito,1498.0,-,121.0,-,,32.0,30.0,464.0,851.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Bragança,9200.0,-,1050.0,27,400.0,2715.0,2351.0,2345.0,312.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Cachoeira do Piriá,1431.0,13,1.0,-,8.0,56.0,317.0,1015.0,21.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Capanema,10626.0,-,703.0,42,471.0,4517.0,2952.0,1819.0,122.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Nova Timboteua,1892.0,1,1.0,5,5.0,112.0,187.0,1433.0,148.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Peixe-Boi,630.0,-,152.0,6,,29.0,14.0,240.0,189.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Primavera,1197.0,-,190.0,46,6.0,59.0,47.0,838.0,11.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Quatipuru,985.0,-,5.0,-,1.0,31.0,15.0,933.0,,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Salinópolis,6153.0,-,34.0,41,1009.0,1638.0,2487.0,938.0,6.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Santa Luzia do Pará,778.0,-,16.0,-,10.0,91.0,52.0,473.0,136.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Santarém Novo,777.0,-,,-,2.0,22.0,9.0,736.0,8.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
São João de Pirabas,1262.0,-,57.0,-,3.0,74.0,138.0,957.0,33.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Tracuateua,1960.0,75,,-,10.0,94.0,125.0,1628.0,28.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Viseu,17494.0,1,9.0,3,,143.0,222.0,16973.0,143.0,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Fonte: MTE-RAIS,,,,,,,,,,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
Elaboração: FAPESPA,,,,,,,,,,9 Rio Caeté,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio caete.xlsx,Rio Caeté
