EstadoMunicpio,Creche,PrEscola,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,161.0,178.0,214.0,301.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
RI Rio Caeté,1442857142857143.0,1.6153333333333332e+16,2.051333333333333e+16,3336.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Augusto Corrêa,161.0,173.0,213.0,369.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Bonito,146.0,132.0,176.0,366.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Bragança,118.0,176.0,232.0,309.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Cachoeira do Piriá,166.0,204.0,197.0,225.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Capanema,178.0,172.0,239.0,308.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Nova Timboteua,133.0,168.0,18.0,33.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Peixe-Boi,154.0,144.0,163.0,315.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Primavera,136.0,172.0,256.0,363.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Quatipuru,145.0,148.0,217.0,282.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Salinópolis,149.0,191.0,245.0,361.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Santa Luzia do Pará,168.0,141.0,22.0,383.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
Santarém Novo,13.0,132.0,17.0,34.0,9 Rio Caeté,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri rio caete.xlsx,Rio Caeté
