EstadoRIs,Creche,PrEscola,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,161.0,178.0,214.0,301.0,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Araguaia,2.4253333333333336e+16,2.053333333333333e+16,2.2673333333333336e+16,2.515333333333333e+16,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Baixo Amazonas,1.3838461538461536e+16,164.0,1.7915384615384616e+16,2.8415384615384612e+16,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Carajás,1.6808333333333334e+16,1863333333333333.0,2.0641666666666664e+16,2.6683333333333336e+16,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Guajará,1766.0,1856.0,2344.0,3312.0,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Guamá,1.3429411764705884e+16,1508888888888889.0,1.930555555555556e+16,2847222222222222.0,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Lago de Tucuruí,1402857142857143.0,1838571428571429.0,2.2157142857142852e+16,2797142857142858.0,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Marajó,1795625.0,1.7394117647058824e+16,1.865882352941176e+16,2.751764705882353e+16,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Rio Caeté,1442857142857143.0,1.6153333333333332e+16,2.051333333333333e+16,3336.0,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Rio Capim,1.5193750000000004e+16,1.8012499999999996e+16,2.093125e+16,3.1731250000000004e+16,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Tapajós,1.8883333333333332e+16,178.0,2.0016666666666664e+16,2736666666666667.0,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Tocantins,1.6249999999999996e+16,1877.0,2.178e+16,3.0910000000000004e+16,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Xingu,1793.0,1845.0,2233.0,2.617e+16,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Fonte: MEC - INEP,,,,,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
Elaboração: FAPESPA,,,,,1 Pará,12,Média de Alunos por Turma por Nível de Ensino - 2024 para,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 para.xlsx,RIS
