Par,973,986,26,08,01,06,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Araguaia,-,98.45,-,1.5499999999999998,-,0,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,9229333333333332.0
Baixo Amazonas,-,98.42500000000001,-,1.35,-,0.225,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,9234615384615384.0
Carajás,-,100,-,0,-,0,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,926083333333333.0
Guajará,97.3,99.22,2.6,0.5599999999999999,0.1,0.22000000000000003,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,9706.0
Guamá,-,97.53636363636362,-,1.5909090909090906,-,0.8727272727272729,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,9206666666666666.0
Lago de Tucuruí,-,-,-,-,-,-,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,871857142857143.0
Marajó,-,96.4,-,1.6,-,2,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,8762352941176471.0
Rio Caeté,-,97.36666666666667,-,1,-,1.633333333333333,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,9393333333333334.0
Rio Capim,-,97.66,-,1.0999999999999999,-,1.2399999999999998,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,9193125000000000.0
Tapajós,-,-,-,-,-,-,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,9148333333333332.0
Tocantins,-,99.60000000000001,-,0.39999999999999997,-,0,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,8879.0
Xingu,-,-,-,-,-,-,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS,914,9161999999999998.0
