Par,973,986,914,991,929,26,08,7,07,58,01,06,16,02,13,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Araguaia,-,98.45,9229333333333332.0,9922.0,9271333333333334.0,-,1.5499999999999998,5233333333333333.0,6300000000000001.0,494.0,-,0,2.4733333333333324e+16,15.0,2.3466666666666668e+16,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS
Baixo Amazonas,-,98.42500000000001,9234615384615384.0,9925.0,9250769230769232.0,-,1.35,6707692307692307.0,75.0,6561538461538462.0,-,0.225,9461538461538464.0,0.0,9307692307692308.0,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS
Carajás,-,100,926083333333333.0,9951428571428572.0,9305833333333332.0,-,0,6133333333333332.0,4571428571428572.0,5758333333333332.0,-,0,1258333333333333.0,2.85714285714285e+16,1.1833333333333332e+16,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS
Guajará,97.3,99.22,9706.0,9915000000000000.0,9746.0,2.6,0.5599999999999999,246.0,7250000000000001.0,222.0,0.1,0.22000000000000003,48.0,125.0,32.0,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS
Guamá,-,97.53636363636362,9206666666666666.0,9918333333333334.0,9304444444444444.0,-,1.5909090909090906,6966666666666668.0,7000000000000001.0,598888888888889.0,-,0.8727272727272729,9666666666666668.0,1.166666666666666e+16,9666666666666666.0,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS
Lago de Tucuruí,-,-,871857142857143.0,9965000000000000.0,8767142857142856.0,-,-,1.0442857142857144e+16,3e+16,1.0085714285714288e+16,-,-,2371428571428571.0,4.99999999999999e+16,2242857142857143.0,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS
Marajó,-,96.4,8762352941176471.0,985.0,8774705882352943.0,-,1.6,9711764705882352.0,15.0,9541176470588236.0,-,2,2.664705882352941e+16,0.0,2711764705882353.0,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS
Rio Caeté,-,97.36666666666667,9393333333333334.0,9962857142857144.0,9417333333333332.0,-,1,5086666666666667.0,3.571428571428571e+16,466.0,-,1.633333333333333,98.0,1.42857142857142e+16,1.1666666666666668e+16,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS
Rio Capim,-,97.66,9193125000000000.0,9897.0,9257500000000000.0,-,1.0999999999999999,6868750000000001.0,9300000000000000.0,6225.0,-,1.2399999999999998,12.0,1.0,1.2000000000000002e+16,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS
Tapajós,-,-,9148333333333332.0,9870000000000000.0,9166666666666668.0,-,-,6333333333333333.0,1.2999999999999998e+16,6216666666666668.0,-,-,2.1833333333333336e+16,0.0,2.1166666666666668e+16,1 Pará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 para.xlsx",RIS
