tema;indicador;ri;localidade;nivel1;nivel2;nivel3;ano;valor
Saúde;Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna;Pará;Pará;Taxa de Mortalidade Infantil;-;-;2015;1,50698246865407e+01
Saúde;Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna;Pará;Pará;Taxa de Mortalidade Infantil;-;-;2016;1,56784036534462e+01
Saúde;Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna;Pará;Pará;Taxa de Mortalidade Infantil;-;-;2017;1,54019209137319e+01
Saúde;Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna;Pará;Pará;Taxa de Mortalidade Infantil;-;-;2019;1,51432893946304e+01
Saúde;Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna;Pará;Pará;Taxa de Mortalidade Infantil;-;-;2020;1,50536145597760e+01
Saúde;Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna;Pará;Pará;Taxa de Mortalidade Infantil;-;-;2021;1,50536145597760e+01
Saúde;Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna;Pará;Pará;Taxa de Mortalidade Infantil;-;-;2022;1,46896286831853e+01
Saúde;Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna;Pará;Pará;Taxa de Mortalidade Infantil;-;-;2023;1,50350288402796e+01
Saúde;Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna;Pará;Pará;Taxa de Mortalidade Infantil;-;-;2024;1,52470151457621e+01
Saúde;Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna;Pará;Araguaia;Taxa de Mortalidade Infantil;-;-;2015;1,38390568939006e+01
