tema;indicador;ri;localidade;nivel1;nivel2;nivel3;ano;valor
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Pará;Total;-;-;2015;1125629,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Pará;Total;-;-;2016;1053271,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Pará;Total;-;-;2017;1068818,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Pará;Total;-;-;2018;1085546,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Pará;Total;-;-;2019;1095520,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Pará;Total;-;-;2021;1167171,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Pará;Total;-;-;2023;1375238,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Pará;Total;-;-;2024;1445663,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Araguaia;Total;-;-;2015;54217,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Araguaia;Total;-;-;2016;51429,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Araguaia;Total;-;-;2017;53355,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Araguaia;Total;-;-;2018;53242,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Araguaia;Total;-;-;2019;55517,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Araguaia;Total;-;-;2021;59014,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Araguaia;Total;-;-;2023;79463,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Araguaia;Total;-;-;2024;79533,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Baixo Amazonas;Total;-;-;2015;75351,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Baixo Amazonas;Total;-;-;2016;72109,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Baixo Amazonas;Total;-;-;2017;74594,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Baixo Amazonas;Total;-;-;2018;74295,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Baixo Amazonas;Total;-;-;2019;70011,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Baixo Amazonas;Total;-;-;2021;75041,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Baixo Amazonas;Total;-;-;2023;102224,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Baixo Amazonas;Total;-;-;2024;104739,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Carajás;Total;-;-;2015;129577,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Carajás;Total;-;-;2016;116782,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Carajás;Total;-;-;2017;113631,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Carajás;Total;-;-;2018;115768,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Carajás;Total;-;-;2019;130275,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Carajás;Total;-;-;2021;163834,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Carajás;Total;-;-;2023;191190,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Carajás;Total;-;-;2024;201798,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Guajará;Total;-;-;2015;513656,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Guajará;Total;-;-;2016;496828,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Guajará;Total;-;-;2017;491983,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Guajará;Total;-;-;2018;501216,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Guajará;Total;-;-;2019;499338,000000000000
Mercado de Trabalho;Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal;Pará;Guajará;Total;-;-;2021;503267,000000000000
