tema;indicador;ri;localidade;nivel1;nivel2;nivel3;ano;valor
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Pará;ICMS;Repasse;-;2015;1,94733420209000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Pará;ICMS;Repasse;-;2016;2,01639737626000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Pará;ICMS;Repasse;-;2018;2,18351606898000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Pará;ICMS;Repasse;-;2019;2,44022483656000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Pará;ICMS;Repasse;-;2020;2,76676185773000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Pará;ICMS;Repasse;-;2021;3,38867711798000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Pará;ICMS;Repasse;-;2022;3,99452998717000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Pará;ICMS;Repasse;-;2023;4,14915926956000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Pará;ICMS;Repasse;-;2024;4,87893828960000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Araguaia;ICMS;Repasse;-;2015;1,35923927210000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Araguaia;ICMS;Repasse;-;2016;1,54859318540000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Araguaia;ICMS;Repasse;-;2018;1,70750956600000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Araguaia;ICMS;Repasse;-;2019;1,82528817770000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Araguaia;ICMS;Repasse;-;2020;2,00157214290000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Araguaia;ICMS;Repasse;-;2021;2,44062031290000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Araguaia;ICMS;Repasse;-;2022;2,65418382480000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Araguaia;ICMS;Repasse;-;2023;2,57558516450000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Araguaia;ICMS;Repasse;-;2024;3,52273678820000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Baixo Amazonas;ICMS;Repasse;-;2015;1,41376463090000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Baixo Amazonas;ICMS;Repasse;-;2016;1,59698672180000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Baixo Amazonas;ICMS;Repasse;-;2018;1,81886888570000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Baixo Amazonas;ICMS;Repasse;-;2019;1,92533739590000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Baixo Amazonas;ICMS;Repasse;-;2020;2,08816600680000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Baixo Amazonas;ICMS;Repasse;-;2021;2,50364533560000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Baixo Amazonas;ICMS;Repasse;-;2022;2,84103938920000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Baixo Amazonas;ICMS;Repasse;-;2023;2,70057630200000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Baixo Amazonas;ICMS;Repasse;-;2024;3,62633123650000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Carajás;ICMS;Repasse;-;2015;5,19159298260000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Carajás;ICMS;Repasse;-;2016;4,40986106230000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Carajás;ICMS;Repasse;-;2018;4,75351448230000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Carajás;ICMS;Repasse;-;2019;6,16644816180000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Carajás;ICMS;Repasse;-;2020;7,60751762110000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Carajás;ICMS;Repasse;-;2021;9,39093076500000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Carajás;ICMS;Repasse;-;2022;1,31065644674000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Carajás;ICMS;Repasse;-;2023;1,68184443697000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Carajás;ICMS;Repasse;-;2024;1,56841456193000e+09
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guajará;ICMS;Repasse;-;2015;4,77291612910000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guajará;ICMS;Repasse;-;2016;5,00469828770000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guajará;ICMS;Repasse;-;2018;4,72731228920000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guajará;ICMS;Repasse;-;2019;5,07810788490000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guajará;ICMS;Repasse;-;2020;5,48978461370000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guajará;ICMS;Repasse;-;2021;6,35738362040000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guajará;ICMS;Repasse;-;2022;6,44698813030000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guajará;ICMS;Repasse;-;2023;5,26909052150000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guajará;ICMS;Repasse;-;2024;6,14755240770000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guamá;ICMS;Repasse;-;2015;9,58088427600000e+07
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guamá;ICMS;Repasse;-;2016;1,05860862280000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guamá;ICMS;Repasse;-;2018;1,19219977360000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guamá;ICMS;Repasse;-;2019;1,33236276040000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guamá;ICMS;Repasse;-;2020;1,34682196140000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guamá;ICMS;Repasse;-;2021;1,63752948820000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guamá;ICMS;Repasse;-;2022;1,89882791130000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guamá;ICMS;Repasse;-;2023;1,78350705360000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Guamá;ICMS;Repasse;-;2024;2,59110405840000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Lago de Tucuruí;ICMS;Repasse;-;2015;1,21513654230000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Lago de Tucuruí;ICMS;Repasse;-;2016;1,44172412430000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Lago de Tucuruí;ICMS;Repasse;-;2018;1,50880960370000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Lago de Tucuruí;ICMS;Repasse;-;2019;1,35676500930000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Lago de Tucuruí;ICMS;Repasse;-;2020;1,46639482380000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Lago de Tucuruí;ICMS;Repasse;-;2021;1,82014407800000e+08
Finanças Públicas;Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2023;Pará;Lago de Tucuruí;ICMS;Repasse;-;2022;1,80068127090000e+08
