tema;indicador;ri;localidade;nivel1;nivel2;nivel3;ano;valor
Infraestrutura;Tabela 49 - Consumo de Energia Elétrica Total (kWH) e Consumidores de Energia Elétrica por Tipo - 2023;Pará;Pará;Consumo de energia Elétrica (kWH);-;-;2015;8,45546891500000e+09
Infraestrutura;Tabela 49 - Consumo de Energia Elétrica Total (kWH) e Consumidores de Energia Elétrica por Tipo - 2023;Pará;Pará;Consumo de energia Elétrica (kWH);-;-;2016;8,73947116915200e+09
Infraestrutura;Tabela 49 - Consumo de Energia Elétrica Total (kWH) e Consumidores de Energia Elétrica por Tipo - 2023;Pará;Pará;Consumo de energia Elétrica (kWH);-;-;2018;8,64061055099675e+09
Infraestrutura;Tabela 49 - Consumo de Energia Elétrica Total (kWH) e Consumidores de Energia Elétrica por Tipo - 2023;Pará;Pará;Consumo de energia Elétrica (kWH);-;-;2019;8,61696302399470e+09
Infraestrutura;Tabela 49 - Consumo de Energia Elétrica Total (kWH) e Consumidores de Energia Elétrica por Tipo - 2023;Pará;Pará;Consumo de energia Elétrica (kWH);-;-;2020;8,79232537600843e+09
Infraestrutura;Tabela 49 - Consumo de Energia Elétrica Total (kWH) e Consumidores de Energia Elétrica por Tipo - 2023;Pará;Pará;Consumo de energia Elétrica (kWH);-;-;2021;8,64061055099675e+09
Infraestrutura;Tabela 49 - Consumo de Energia Elétrica Total (kWH) e Consumidores de Energia Elétrica por Tipo - 2023;Pará;Pará;Consumo de energia Elétrica (kWH);-;-;2022;1,00325640760732e+10
Infraestrutura;Tabela 49 - Consumo de Energia Elétrica Total (kWH) e Consumidores de Energia Elétrica por Tipo - 2023;Pará;Pará;Consumo de energia Elétrica (kWH);-;-;2023;1,08588977458694e+10
Infraestrutura;Tabela 49 - Consumo de Energia Elétrica Total (kWH) e Consumidores de Energia Elétrica por Tipo - 2023;Pará;Pará;Consumo de energia Elétrica (kWH);-;-;2024;1,15940955484616e+10
Infraestrutura;Tabela 49 - Consumo de Energia Elétrica Total (kWH) e Consumidores de Energia Elétrica por Tipo - 2023;Pará;Araguaia;Consumo de energia Elétrica (kWH);-;-;2015;5,35400093000000e+08
