tema;indicador;ri;localidade;nivel1;nivel2;nivel3;ano;valor
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Pará;Óbitos Agressões Total;-;-;2015;3,64800000000000e+03
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Pará;Óbitos Agressões Total;-;-;2016;4,19200000000000e+03
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Pará;Óbitos Agressões Total;-;-;2017;4,54000000000000e+03
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Pará;Óbitos Agressões Total;-;-;2019;3,34400000000000e+03
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Pará;Óbitos Agressões Total;-;-;2020;2,74800000000000e+03
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Pará;Óbitos Agressões Total;-;-;2021;2,72300000000000e+03
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Pará;Óbitos Agressões Total;-;-;2022;2,77200000000000e+03
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Pará;Óbitos Agressões Total;-;-;2023;2,48900000000000e+03
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Pará;Óbitos Agressões Total;-;-;2024;2,21100000000000e+03
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Araguaia;Óbitos Agressões Total;-;-;2015;1,54000000000000e+02
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Araguaia;Óbitos Agressões Total;-;-;2016;1,68000000000000e+02
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Araguaia;Óbitos Agressões Total;-;-;2017;2,21000000000000e+02
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Araguaia;Óbitos Agressões Total;-;-;2019;1,97000000000000e+02
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Araguaia;Óbitos Agressões Total;-;-;2020;2,38000000000000e+02
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Araguaia;Óbitos Agressões Total;-;-;2021;2,56000000000000e+02
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Araguaia;Óbitos Agressões Total;-;-;2022;2,43000000000000e+02
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Araguaia;Óbitos Agressões Total;-;-;2023;2,20000000000000e+02
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Araguaia;Óbitos Agressões Total;-;-;2024;2,05000000000000e+02
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Baixo Amazonas;Óbitos Agressões Total;-;-;2015;1,07000000000000e+02
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Baixo Amazonas;Óbitos Agressões Total;-;-;2016;1,35000000000000e+02
Segurança;Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2023;Pará;Baixo Amazonas;Óbitos Agressões Total;-;-;2017;1,52000000000000e+02
