EstadoMunicpios,bitos_por_Acidentes_de_Trnsito_,Populao_Total,Taxa_de_Mortes_por_Acidentes_de_Trnsito_100000_hab,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1759.0,8664306.0,2.0301683712463524e+16,11 Tapajós,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos.xlsx",Tapajós
RI Tapajós,56.0,268410.0,2.086360418762341e+16,11 Tapajós,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos.xlsx",Tapajós
Aveiro,0.0,19223.0,0.0,11 Tapajós,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos.xlsx",Tapajós
Itaituba,9.0,133684.0,6732294066604829.0,11 Tapajós,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos.xlsx",Tapajós
Jacareacanga,4.0,26006.0,1.5381065907867416e+16,11 Tapajós,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos.xlsx",Tapajós
Novo Progresso,31.0,36518.0,8488964346349745.0,11 Tapajós,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos.xlsx",Tapajós
Rurópolis,4.0,37360.0,1070663811563169.0,11 Tapajós,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos.xlsx",Tapajós
Trairão,8.0,15619.0,5121966835264742.0,11 Tapajós,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos.xlsx",Tapajós
Fonte: DATASUS,,,,11 Tapajós,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos.xlsx",Tapajós
Elaboração: FAPESPA,,,,11 Tapajós,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri tapajos.xlsx",Tapajós
