Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tapajós,1414.0,56.0,123.0,34.0,197.0,139.0,63.0,612.0,11 Tapajós,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos.xlsx,Tapajós
Aveiro,62.0,0.0,5.0,0.0,11.0,7.0,3.0,26.0,11 Tapajós,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos.xlsx,Tapajós
Itaituba,785.0,29.0,78.0,28.0,97.0,73.0,29.0,334.0,11 Tapajós,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos.xlsx,Tapajós
Jacareacanga,107.0,9.0,4.0,2.0,12.0,13.0,5.0,45.0,11 Tapajós,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos.xlsx,Tapajós
Novo Progresso,205.0,9.0,15.0,1.0,14.0,18.0,12.0,69.0,11 Tapajós,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos.xlsx,Tapajós
Rurópolis,156.0,5.0,14.0,2.0,24.0,21.0,6.0,72.0,11 Tapajós,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos.xlsx,Tapajós
Trairão,99.0,4.0,7.0,1.0,39.0,7.0,8.0,66.0,11 Tapajós,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos.xlsx,Tapajós
Fonte: DATASUS,,,,,,,,,11 Tapajós,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos.xlsx,Tapajós
Elaboração: FAPESPA,,,,,,,,,11 Tapajós,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos.xlsx,Tapajós
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,,,11 Tapajós,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tapajos.xlsx,Tapajós
