EstadoMunicpios,Populao_Estimada_Total__2025,rea_Territorial_km__2024,Densidade_Demogrfica_habkm,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1.2458288319999992e+16,6.992289611740183e+16,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós
RI Tapajós,271130.0,1.89595497e+16,1.4300445120803688e+16,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós
Aveiro,19380.0,17074053.0,1.1350556309038048e+16,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós
Itaituba,135369.0,62042472.0,218187631208505.0,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós
Jacareacanga,26579.0,53304563.0,4.986252302640582e+16,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós
Novo Progresso,37054.0,38162003.0,9709658059614952.0,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós
Rurópolis,37198.0,7021321.0,5297863464724088.0,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós
Trairão,15550.0,11991085.0,1.2967967452486576e+16,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós
Fonte: IBGE - Censo Demográfico,,,,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós
Elaboração: FAPESPA,,,,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós
Nota¹: Último ano de registro do dado.,,,,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós
