EstadoMunicpios,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,29,745689,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Leite_Mil_litros,511007.0
RI Tapajós,0,560,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Leite_Mil_litros,6655.0
Aveiro,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Leite_Mil_litros,270.0
Itaituba,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Leite_Mil_litros,950.0
Jacareacanga,-,430,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Leite_Mil_litros,600.0
Novo Progresso,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Leite_Mil_litros,350.0
Rurópolis,-,130,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Leite_Mil_litros,3780.0
Trairão,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Leite_Mil_litros,705.0
Fonte: IBGE/PPM,,,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Leite_Mil_litros,
Elaboração: FAPESPA,,,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Leite_Mil_litros,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Leite_Mil_litros,
Pará,29,745689,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Ovos_de_galinha_Mil_dzias,39437.0
RI Tapajós,0,560,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Ovos_de_galinha_Mil_dzias,250.0
Aveiro,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Ovos_de_galinha_Mil_dzias,19.0
Itaituba,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Ovos_de_galinha_Mil_dzias,52.0
Jacareacanga,-,430,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Ovos_de_galinha_Mil_dzias,14.0
Novo Progresso,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Ovos_de_galinha_Mil_dzias,51.0
Rurópolis,-,130,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Ovos_de_galinha_Mil_dzias,67.0
Trairão,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Ovos_de_galinha_Mil_dzias,47.0
Fonte: IBGE/PPM,,,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Ovos_de_galinha_Mil_dzias,
Elaboração: FAPESPA,,,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Ovos_de_galinha_Mil_dzias,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós,Ovos_de_galinha_Mil_dzias,
