EstadoMunicpios,Total,Automvel,Caminho,Caminho_trator,Caminhonete,Camioneta,Ciclomotor,Micronibus,Motocicleta,Motoneta,nibus,Reboque,Semireboque,Triciclo,Utilitrio,Outros,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2810011.0,765312.0,75715.0,15876.0,226197.0,56188.0,7819.0,7791.0,1219628.0,314301.0,22536.0,40209.0,26496.0,2846.0,28103.0,994.0,11 Tapajós,51,Total da Frota de Veículos por Tipo - 2024 ri tapajós,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós.xlsx,Tapajós
RI Tapajós,100712.0,16552.0,3863.0,781.0,12301.0,1220.0,130.0,98.0,49360.0,12806.0,404.0,834.0,1308.0,72.0,968.0,15.0,11 Tapajós,51,Total da Frota de Veículos por Tipo - 2024 ri tapajós,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós.xlsx,Tapajós
Aveiro,373.0,13.0,7.0,3.0,26.0,2.0,0.0,0.0,269.0,36.0,5.0,6.0,6.0,0.0,0.0,0.0,11 Tapajós,51,Total da Frota de Veículos por Tipo - 2024 ri tapajós,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós.xlsx,Tapajós
Itaituba,62232.0,11286.0,1990.0,341.0,6656.0,770.0,78.0,54.0,30373.0,8716.0,237.0,365.0,635.0,49.0,673.0,9.0,11 Tapajós,51,Total da Frota de Veículos por Tipo - 2024 ri tapajós,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós.xlsx,Tapajós
Jacareacanga,1715.0,108.0,67.0,7.0,195.0,13.0,0.0,2.0,993.0,287.0,5.0,7.0,15.0,0.0,15.0,1.0,11 Tapajós,51,Total da Frota de Veículos por Tipo - 2024 ri tapajós,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós.xlsx,Tapajós
Novo Progresso,22726.0,3649.0,1199.0,375.0,3650.0,311.0,46.0,20.0,9905.0,2286.0,99.0,390.0,588.0,17.0,189.0,2.0,11 Tapajós,51,Total da Frota de Veículos por Tipo - 2024 ri tapajós,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós.xlsx,Tapajós
Rurópolis,9021.0,946.0,377.0,19.0,1174.0,90.0,5.0,14.0,5201.0,1036.0,37.0,36.0,26.0,5.0,54.0,1.0,11 Tapajós,51,Total da Frota de Veículos por Tipo - 2024 ri tapajós,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós.xlsx,Tapajós
Trairão,4645.0,550.0,223.0,36.0,600.0,34.0,1.0,8.0,2619.0,445.0,21.0,30.0,38.0,1.0,37.0,2.0,11 Tapajós,51,Total da Frota de Veículos por Tipo - 2024 ri tapajós,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós.xlsx,Tapajós
Fonte: DENATRAN,,,,,,,,,,,,,,,,,11 Tapajós,51,Total da Frota de Veículos por Tipo - 2024 ri tapajós,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós.xlsx,Tapajós
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,11 Tapajós,51,Total da Frota de Veículos por Tipo - 2024 ri tapajós,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós.xlsx,Tapajós
"Nota1: Outros inclui: Chassi Plataf, Quadriciclo, Side-Car, Trator de Rodas, Trator Esteira, Sem identificação e Não Identificado.",,,,,,,,,,,,,,,,,11 Tapajós,51,Total da Frota de Veículos por Tipo - 2024 ri tapajós,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tapajós.xlsx,Tapajós
