EstadoMunicpio,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1980,11 Tapajós,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos.xlsx,Tapajós,Bovino,25557665.0
RI Tapajós,0,11 Tapajós,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos.xlsx,Tapajós,Bovino,1680778.0
Aveiro,-,11 Tapajós,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos.xlsx,Tapajós,Bovino,79848.0
Itaituba,-,11 Tapajós,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos.xlsx,Tapajós,Bovino,388717.0
Jacareacanga,-,11 Tapajós,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos.xlsx,Tapajós,Bovino,105818.0
Novo Progresso,-,11 Tapajós,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos.xlsx,Tapajós,Bovino,724459.0
Rurópolis,-,11 Tapajós,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos.xlsx,Tapajós,Bovino,217200.0
Trairão,-,11 Tapajós,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos.xlsx,Tapajós,Bovino,164736.0
Fonte: IBGE/PPM,,11 Tapajós,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos.xlsx,Tapajós,Bovino,
Elaboração: FAPESPA,,11 Tapajós,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tapajos.xlsx,Tapajós,Bovino,
