EstadoMunicpios,Ranking_Regional,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Itaituba,1,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Ranking_Estadual,13.0
Jacareacanga,3,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Ranking_Estadual,62.0
Novo Progresso,2,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Ranking_Estadual,32.0
Rurópolis,4,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Ranking_Estadual,70.0
Trairão,5,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Ranking_Estadual,94.0
Fonte: FAPESPA/IBGE,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Ranking_Estadual,
Elaboração: FAPESPA,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Ranking_Estadual,
Pará,-,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_no_Par_,100.0
RI Tapajós,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_no_Par_,2894526226002304.0
Aveiro,6,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_no_Par_,8969565794692920.0
Itaituba,1,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_no_Par_,1495216112013208.0
Jacareacanga,3,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_no_Par_,2877346067533747.0
Novo Progresso,2,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_no_Par_,6054090239725542.0
Rurópolis,4,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_no_Par_,2.378951690007519e+16
Trairão,5,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_no_Par_,1785756563154858.0
Fonte: FAPESPA/IBGE,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_no_Par_,
Elaboração: FAPESPA,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_no_Par_,
Pará,-,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_na_Regio_,
RI Tapajós,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_na_Regio_,100.0
Aveiro,6,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_na_Regio_,3098802738118907.0
Itaituba,1,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_na_Regio_,5.1656678684797576e+16
Jacareacanga,3,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_na_Regio_,9940646043161664.0
Novo Progresso,2,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_na_Regio_,2.0915651706106612e+16
Rurópolis,4,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_na_Regio_,8218794732750249.0
Trairão,5,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_na_Regio_,6169426095064985.0
Fonte: FAPESPA/IBGE,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_na_Regio_,
Elaboração: FAPESPA,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Partipao_na_Regio_,
