EstadoMunicpios,Ranking_Regional,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,-,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,PIB_R_1000,2.5454651119799996e+16
RI Tapajós,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,PIB_R_1000,7367915524.0
Aveiro,6,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,PIB_R_1000,228317168.0
Itaituba,1,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,PIB_R_1000,3806020448.0
Jacareacanga,3,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,PIB_R_1000,732418403.0
Novo Progresso,2,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,PIB_R_1000,1541047549.0
Rurópolis,4,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,PIB_R_1000,605553853.0
Trairão,5,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,PIB_R_1000,454558103.0
Fonte: FAPESPA/IBGE,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,PIB_R_1000,
Elaboração: FAPESPA,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,PIB_R_1000,
Pará,-,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Ranking_Estadual,
RI Tapajós,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Ranking_Estadual,12.0
Aveiro,6,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós,Ranking_Estadual,126.0
