EstadoMunicpios,Leite_Mil_litros,Ovos_de_galinha_Mil_dzias,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,511007.0,39437.0,29,745689,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós
RI Tapajós,6655.0,250.0,0,560,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós
Aveiro,270.0,19.0,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós
Itaituba,950.0,52.0,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós
Jacareacanga,600.0,14.0,-,430,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós
Novo Progresso,350.0,51.0,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós
Rurópolis,3780.0,67.0,-,130,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós
Trairão,705.0,47.0,-,-,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós
Fonte: IBGE/PPM,,,,,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós
Elaboração: FAPESPA,,,,,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,,11 Tapajós,46,Producao de Origem Animal por Tipo - 2024 ri tapajos,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tapajos.xlsx,Tapajós
