EstadoMunicpios,_Participao_VA_Agropecuria,_Participao_VA_Indstria,_Participao_VA_Servios_exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica,_Participao_VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.0119479036388216e+16,4636501845251364.0,2696548223760274.0,1.6550020275994406e+16,100.0,10 Rio Capim,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim.xlsx,Rio Capim
RI Rio Capim,2.992714804333785e+16,1.8466379665602956e+16,2.5026601372151164e+16,2.6579870927175944e+16,100.0,10 Rio Capim,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim.xlsx,Rio Capim
Abel Figueiredo,2789512046300166.0,9629681729158816.0,2.5202147739418572e+16,3727305006842096.0,100.0,10 Rio Capim,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim.xlsx,Rio Capim
Aurora do Pará,2.9687210902762264e+16,3231351841470425.0,1.5945299124528728e+16,5113613779484065.0,100.0,10 Rio Capim,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim.xlsx,Rio Capim
Bujaru,6.181286334066213e+16,3.989308914073702e+16,9918108352239016.0,2.427971920317457e+16,100.0,10 Rio Capim,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim.xlsx,Rio Capim
Capitão Poço,2.2995515453288052e+16,6163456863682257.0,2.9508253247744164e+16,4133277443528552.0,100.0,10 Rio Capim,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim.xlsx,Rio Capim
Concórdia do Pará,2.8278195614969052e+16,4484368493915507.0,2.3899713933609396e+16,4333772195750604.0,100.0,10 Rio Capim,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim.xlsx,Rio Capim
Dom Eliseu,2.7693530039168636e+16,5884788082623109.0,3.5922625219378252e+16,3.0499056777375196e+16,100.0,10 Rio Capim,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim.xlsx,Rio Capim
Garrafão do Norte,2.8542897439948184e+16,3.775951759173328e+16,1.853097343752984e+16,4915017736334866.0,100.0,10 Rio Capim,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,1.4127646435029028e+16,2.3513307841835664e+16,1.5125599662739802e+16,472334462295086.0,100.0,10 Rio Capim,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio capim.xlsx,Rio Capim
