EstadoMunicpios,Populao_Estimada_Total__2025,rea_Territorial_km__2024,Densidade_Demogrfica_habkm,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1.2458288319999992e+16,6.992289611740183e+16,10 Rio Capim,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim.xlsx",Rio Capim
RI Rio Capim,655013.0,6216189399999999.0,1.053721110878636e+16,10 Rio Capim,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim.xlsx",Rio Capim
Abel Figueiredo,6275.0,614131.0,1.0217689711152832e+16,10 Rio Capim,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim.xlsx",Rio Capim
Aurora do Pará,24193.0,181184.0,1.3352724302366656e+16,10 Rio Capim,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim.xlsx",Rio Capim
Bujaru,25065.0,994662.0,2.519951501112941e+16,10 Rio Capim,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim.xlsx",Rio Capim
Capitão Poço,60318.0,2901026.0,2079195429479088.0,10 Rio Capim,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim.xlsx",Rio Capim
Concórdia do Pará,28270.0,700614.0,4.035032128961169e+16,10 Rio Capim,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim.xlsx",Rio Capim
Dom Eliseu,62823.0,5268809.0,1.1923567546289872e+16,10 Rio Capim,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim.xlsx",Rio Capim
Garrafão do Norte,25558.0,1608014.0,1.5894140225147296e+16,10 Rio Capim,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim.xlsx",Rio Capim
Ipixuna do Pará,29264.0,5215555.0,5610908139210496.0,10 Rio Capim,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_capim.xlsx",Rio Capim
