EstadoMunicpios,0_a_4_anos,5_a_9_anos,10_a_14_anos,15_a_19_anos,20_a_29_anos,30_a_39_anos,40_a_49_anos,50_a_59_anos,60_a_69_anos,70_a_79_anos,80_anos_e_mais,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,626870.0,674284.0,698269.0,751277.0,1500057.0,1371170.0,1229538.0,858403.0,571207.0,301884.0,128237.0,10 Rio Capim,3,População_por_Faixa_Etária_-_2025_ri_rio_capim,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim.xlsx,Rio Capim
RI Rio Capim,48573.0,52352.0,54394.0,59191.0,115715.0,106259.0,91187.0,60302.0,38989.0,19825.0,8226.0,10 Rio Capim,3,População_por_Faixa_Etária_-_2025_ri_rio_capim,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim.xlsx,Rio Capim
Abel Figueiredo,465.0,510.0,530.0,546.0,955.0,898.0,881.0,649.0,464.0,256.0,121.0,10 Rio Capim,3,População_por_Faixa_Etária_-_2025_ri_rio_capim,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim.xlsx,Rio Capim
Aurora do Pará,1882.0,2045.0,2312.0,2389.0,4082.0,3528.0,3087.0,2259.0,1448.0,803.0,358.0,10 Rio Capim,3,População_por_Faixa_Etária_-_2025_ri_rio_capim,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim.xlsx,Rio Capim
Bujaru,1987.0,2116.0,2233.0,2426.0,4321.0,3634.0,3219.0,2347.0,1488.0,852.0,442.0,10 Rio Capim,3,População_por_Faixa_Etária_-_2025_ri_rio_capim,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim.xlsx,Rio Capim
Capitão Poço,4263.0,4515.0,4665.0,5203.0,10421.0,9996.0,8419.0,6067.0,3817.0,2047.0,905.0,10 Rio Capim,3,População_por_Faixa_Etária_-_2025_ri_rio_capim,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim.xlsx,Rio Capim
Concórdia do Pará,2198.0,2404.0,2559.0,2760.0,4959.0,4405.0,3676.0,2486.0,1507.0,895.0,421.0,10 Rio Capim,3,População_por_Faixa_Etária_-_2025_ri_rio_capim,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim.xlsx,Rio Capim
Dom Eliseu,4688.0,5182.0,5645.0,5970.0,11436.0,10172.0,9122.0,5006.0,3339.0,1706.0,557.0,10 Rio Capim,3,População_por_Faixa_Etária_-_2025_ri_rio_capim,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim.xlsx,Rio Capim
Garrafão do Norte,1884.0,2024.0,2140.0,2396.0,4452.0,4024.0,3433.0,2476.0,1515.0,831.0,383.0,10 Rio Capim,3,População_por_Faixa_Etária_-_2025_ri_rio_capim,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim.xlsx,Rio Capim
Ipixuna do Pará,2428.0,2698.0,2913.0,2887.0,4913.0,4190.0,3572.0,2581.0,1789.0,952.0,341.0,10 Rio Capim,3,População_por_Faixa_Etária_-_2025_ri_rio_capim,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_rio_capim.xlsx,Rio Capim
