EstadoMunicpios,Populao_Total,Populao_menor_que_15_anos,Populao_entre_15_e_64_anos,Populao_maior_que_64_anos,Proporo_de_Idosos,Razo_de_Dependncia,ndice_de_Envelhecimento,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1999423.0,6029379.0,682394.0,7.833528254903229e+16,4447915780381363.0,3.4129546374128932e+16,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
RI Araguaia,476299.0,114027.0,327277.0,34995.0,7.34727555590081e+16,4.5533905529566696e+16,3.0690099713225816e+16,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Água Azul do Norte,17596.0,4526.0,11882.0,1188.0,6751534439645374.0,4808954721427369.0,2.624834290764472e+16,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Bannach,4290.0,1035.0,2951.0,304.0,7086247086247087.0,4537444933920705.0,293719806763285.0,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Conceição do Araguaia,47144.0,9956.0,31941.0,5247.0,1.1129730188359072e+16,4759713221251683.0,5.2701888308557656e+16,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Cumaru do Norte,15150.0,4342.0,10167.0,641.0,4231023102310231.0,4.901150781941576e+16,1.4762782128051588e+16,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Floresta do Araguaia,18595.0,4346.0,12814.0,1435.0,7717128260285023.0,4511471827688466.0,330188679245283.0,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Ourilândia do Norte,35252.0,9283.0,23767.0,2202.0,6246454101894928.0,4.8323305423486344e+16,2372077992028439.0,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Pau D'Arco,7354.0,1768.0,4862.0,724.0,9844982322545552.0,5125462772521596.0,4095022624434389.0,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Redenção,92694.0,21630.0,64494.0,6570.0,7087837400478995.0,4372499767420226.0,3.0374479889042996e+16,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Rio Maria,19190.0,4095.0,13290.0,1805.0,9405940594059404.0,4.439428141459744e+16,4407814407814408.0,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Santa Maria das Barreiras,17065.0,4131.0,11567.0,1367.0,8010547905068854.0,4753177141869111.0,3309126119583636.0,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Santana do Araguaia,30455.0,7620.0,20469.0,2366.0,7768839271055655.0,487859690263325.0,310498687664042.0,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
São Félix do Xingu,64651.0,15507.0,45273.0,3871.0,5987533062133609.0,428025533982727.0,2.496291997162572e+16,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Sapucaia,6212.0,1603.0,4222.0,387.0,6229877656149388.0,4.713405968735197e+16,2.4142233312538988e+16,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Tucumã,42883.0,10538.0,29416.0,2929.0,683021243849544.0,4.578120750611912e+16,2.779464794078573e+16,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Xinguara,57768.0,13647.0,40162.0,3959.0,6.853275169644093e+16,4383745829390966.0,2.9010038836374296e+16,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,,,,,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
Elaboração: FAPESPA,,,,,,,,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
"Nota1: Indicador calculado com base na referência internacional de comparação, onde a população considerada ativa ",,,,,,,,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
é composta por pessoas de 15 a 64 anos de idade e a população idosa formada pelas pessoas com 65 anos e mais de idade.,,,,,,,,2 Araguaia,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_araguaia.xlsx,Araguaia
