EstadoMunicpios,bitos_por_Acidentes_de_Trnsito_,Populao_Total,Taxa_de_Mortes_por_Acidentes_de_Trnsito_100000_hab,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1759.0,8664306.0,2.0301683712463524e+16,2 Araguaia,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia.xlsx",Araguaia
RI Araguaia,215.0,476448.0,4512559607764121.0,2 Araguaia,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia.xlsx",Araguaia
Água Azul do Norte,4.0,17960.0,22271714922049.0,2 Araguaia,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia.xlsx",Araguaia
Bannach,1.0,4252.0,2351834430856068.0,2 Araguaia,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia.xlsx",Araguaia
Conceição do Araguaia,26.0,47099.0,5520287054926856.0,2 Araguaia,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia.xlsx",Araguaia
Cumaru do Norte,7.0,14937.0,4686349333868916.0,2 Araguaia,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia.xlsx",Araguaia
Floresta do Araguaia,9.0,18565.0,4847831941826016.0,2 Araguaia,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia.xlsx",Araguaia
Ourilândia do Norte,16.0,34905.0,4583870505658216.0,2 Araguaia,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia.xlsx",Araguaia
Pau D'Arco,3.0,7296.0,4.1118421052631576e+16,2 Araguaia,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia.xlsx",Araguaia
Redenção,48.0,91947.0,5220398707951319.0,2 Araguaia,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri araguaia.xlsx",Araguaia
