EstadoMunicpio,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1980,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia,Bovino,25557665.0
RI Araguaia,0,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia,Bovino,8338696.0
Água Azul do Norte,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia,Bovino,685182.0
Bannach,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia,Bovino,279577.0
Conceição do Araguaia,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia,Bovino,328035.0
Cumaru do Norte,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia,Bovino,710417.0
Floresta do Araguaia,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia,Bovino,253933.0
Ourilândia do Norte,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia,Bovino,244415.0
Pau D'Arco,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia,Bovino,116352.0
Redenção,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia,Bovino,318443.0
