Par,9274,290432,1084062,45449,148884,233792,17516,1213359,152720,21320,15601,70569,4610,96067,161718,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Araguaia,6944,235459,931141,2375,5185,9176,15,900,270,387,200,907,1102,24620,26599,0,0,0,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia,266576,6795.0
Água Azul do Norte,-,-,-,-,-,-,-,-,-,-,-,-,18,360,900,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia,266576,150.0
Bannach,-,-,-,-,-,-,-,-,-,-,-,-,4,86,201,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia,266576,30.0
Conceição do Araguaia,500,13500,40163,70,84,140,-,-,-,60,24,79,25,533,1066,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia,266576,520.0
Cumaru do Norte,-,-,-,700,1362,1771,-,-,-,20,18,154,100,2200,3850,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia,266576,250.0
Floresta do Araguaia,6000,210000,855624,40,74,148,-,-,-,-,-,-,750,16150,9559,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia,266576,550.0
Ourilândia do Norte,30,770,2270,-,-,-,-,-,-,10,5,25,-,-,-,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia,266576,100.0
Pau D'Arco,-,-,-,-,-,-,-,-,-,-,-,-,35,746,1865,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia,266576,200.0
Redenção,20,483,966,55,139,232,-,-,-,110,44,176,-,-,-,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia,266576,2500.0
Rio Maria,300,8190,24570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia,266576,40.0
