Par,11594095548461563,2695653,4465,153055,211031,3064204,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Araguaia,8225102533701401.0,146416.0,354.0,9653.0,24660.0,181083.0,2 Araguaia,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia.xlsx,Araguaia
Água Azul do Norte,5841926590916.0,3437.0,9.0,212.0,1966.0,5624.0,2 Araguaia,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia.xlsx,Araguaia
Bannach,400651284448.0,862.0,3.0,60.0,699.0,1624.0,2 Araguaia,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,6501979721196999.0,15891.0,28.0,1001.0,3641.0,20561.0,2 Araguaia,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia.xlsx,Araguaia
Cumaru do Norte,9000663808719998.0,2265.0,5.0,348.0,1285.0,3903.0,2 Araguaia,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,2.014282835118001e+16,6165.0,10.0,305.0,1817.0,8297.0,2 Araguaia,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,4256092106681001.0,9641.0,34.0,632.0,1287.0,11594.0,2 Araguaia,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia.xlsx,Araguaia
Pau D'Arco,7224602657969999.0,2299.0,7.0,92.0,679.0,3077.0,2 Araguaia,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia.xlsx,Araguaia
Redenção,1.8535464307084e+16,36151.0,69.0,2277.0,1768.0,40265.0,2 Araguaia,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia.xlsx,Araguaia
Rio Maria,4183353645623.0,6225.0,24.0,444.0,1250.0,7943.0,2 Araguaia,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri araguaia.xlsx,Araguaia
