EstadoMunicpios,bitos_por_Agresses_,Populao_Total,Taxa_de_Homicdio_100_Mil_habitantes,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2211.0,8664306.0,2.5518489305433116e+16,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
RI Araguaia,205.0,476448.0,4.302673114379744e+16,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Água Azul do Norte,10.0,17960.0,5567928730512249.0,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Bannach,2.0,4252.0,4703668861712136.0,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Conceição do Araguaia,16.0,47099.0,3397099726108835.0,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Cumaru do Norte,2.0,14937.0,1338956952533976.0,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Floresta do Araguaia,15.0,18565.0,8079719903043362.0,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Ourilândia do Norte,7.0,34905.0,2.0054433462254692e+16,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Pau D'Arco,1.0,7296.0,1.3706140350877192e+16,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Redenção,54.0,91947.0,5.8729485464452344e+16,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Rio Maria,15.0,19129.0,7841497203199332.0,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Santa Maria das Barreiras,4.0,17079.0,2342057497511564.0,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Santana do Araguaia,7.0,31683.0,2.2093867373670424e+16,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
São Félix do Xingu,35.0,65957.0,5306487560077019.0,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Sapucaia,2.0,6160.0,3.2467532467532464e+16,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Tucumã,14.0,42480.0,3295668549905838.0,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Xinguara,21.0,56999.0,3684275162722153.0,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Fonte: DATASUS,,,,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
Elaboração: FAPESPA,,,,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
*Dados Preliminares extraídos em Outubro/2025.,,,,2 Araguaia,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri araguaia.xlsx",Araguaia
