EstadoMunicpios,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Rio Maria,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Leite_Mil_litros,12405.0
Santa Maria das Barreiras,-,2100,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Leite_Mil_litros,7930.0
Santana do Araguaia,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Leite_Mil_litros,3717.0
São Félix do Xingu,-,400,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Leite_Mil_litros,4083.0
Sapucaia,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Leite_Mil_litros,1870.0
Tucumã,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Leite_Mil_litros,12397.0
Xinguara,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Leite_Mil_litros,15661.0
Fonte: IBGE/PPM,,,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Leite_Mil_litros,
Elaboração: FAPESPA,,,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Leite_Mil_litros,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia,Leite_Mil_litros,
