EstadoMunicpios,_Participao_VA_Agropecuria,_Participao_VA_Indstria,_Participao_VA_Servios_exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica,_Participao_VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.0119479036388216e+16,4636501845251364.0,2696548223760274.0,1.6550020275994406e+16,100.0,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia
RI Araguaia,2831852284191451.0,2.011484513755465e+16,3.1131310657867024e+16,2043532140276405.0,100.0,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia
Água Azul do Norte,4349272236811698.0,2.2479753611908964e+16,1156738913313208.0,2246013488684197.0,100.0,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia
Bannach,7205123790669846.0,1.2686417413441208e+16,8167781378474116.0,1.8512339767414024e+16,100.0,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,2.3614603821382332e+16,4.98344277328995e+16,3830458657178779.0,3.3097366998344284e+16,100.0,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia
Cumaru do Norte,6814492682006619.0,1.959584014328822e+16,1.3317050466585656e+16,1657843869901934.0,100.0,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,4.5618506687237656e+16,2.0425025922275516e+16,1.6634555171456252e+16,1.7321912394023824e+16,100.0,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,8913352852019447.0,5.379644888407688e+16,2159015348265629.0,1.5700044781247376e+16,100.0,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia
Pau D'Arco,5076129837188746.0,3293950409483088.0,1338864195776345.0,3255610926086599.0,100.0,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia
Redenção,9388318373408786.0,1.4182394418732076e+16,5804296724052884.0,1838632006108011.0,100.0,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia
