Par,48,42,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Araguaia,455.0,3778571428571429.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Água Azul do Norte,47.0,38.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Bannach,,36.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,47.0,41.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Cumaru do Norte,42.0,36.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,44.0,37.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,5.0,44.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Pau D'Arco,39.0,32.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Redenção,49.0,45.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Rio Maria,47.0,43.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Santa Maria das Barreiras,38.0,,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Santana do Araguaia,46.0,29.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
São Félix do Xingu,41.0,32.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Sapucaia,48.0,35.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
Tucumã,5.0,39.0,2 Araguaia,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri araguaia.xlsx,Araguaia
