Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
,INSTITUTO SINAI SERVICOS MEDICOS S A ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,ARUS DAY HOSPITAL ,Hospital/Dia,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Rio Maria,CLINICA BELLA PLASTICA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL MUNICIPAL DE RIO MARIA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL REGIONAL DE RIO MARIA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Santa Maria das Barreiras,HOSPITAL DISTRITAL DE CASA DE TABUA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL MUNICIPAL DE SANTA MARIA DAS BARREIRAS ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Santana do Araguaia,MATERNIDADE MUNICIPAL DR JOAO CARLOS FERREIRA REIS ,Hospital Especializado,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL MUNICIPAL SAO FRANCISCO DE ASSIS ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
São Félix do Xingu,COMPLEXO HOSPITALAR XINGU ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
