EstadoMunicpios,0_a_4_anos,5_a_9_anos,10_a_14_anos,15_a_19_anos,20_a_29_anos,30_a_39_anos,40_a_49_anos,50_a_59_anos,60_a_69_anos,70_a_79_anos,80_anos_e_mais,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,626870.0,674284.0,698269.0,751277.0,1500057.0,1371170.0,1229538.0,858403.0,571207.0,301884.0,128237.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
RI Araguaia,36074.0,38780.0,39173.0,40221.0,80635.0,74800.0,66554.0,47460.0,31010.0,15670.0,5922.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Água Azul do Norte,1354.0,1538.0,1634.0,1512.0,2957.0,2878.0,2480.0,1478.0,1046.0,528.0,191.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Bannach,330.0,354.0,351.0,382.0,718.0,649.0,612.0,427.0,288.0,128.0,51.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Conceição do Araguaia,3028.0,3380.0,3548.0,3758.0,7325.0,6425.0,6580.0,5601.0,4107.0,2386.0,1006.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Cumaru do Norte,1536.0,1465.0,1341.0,1358.0,2844.0,2373.0,1882.0,1281.0,713.0,273.0,84.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Floresta do Araguaia,1377.0,1484.0,1485.0,1587.0,3090.0,2895.0,2623.0,1921.0,1234.0,653.0,246.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Ourilândia do Norte,2946.0,3143.0,3194.0,3159.0,5781.0,5653.0,4773.0,3242.0,2025.0,967.0,369.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Pau D'Arco,551.0,597.0,620.0,606.0,1046.0,1027.0,1014.0,828.0,611.0,331.0,123.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Redenção,6924.0,7399.0,7307.0,7520.0,16002.0,15203.0,13230.0,9201.0,5851.0,2901.0,1156.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Rio Maria,1263.0,1391.0,1441.0,1558.0,3117.0,2838.0,2765.0,2198.0,1446.0,831.0,342.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Santa Maria das Barreiras,1297.0,1414.0,1420.0,1449.0,2583.0,2456.0,2401.0,1932.0,1286.0,633.0,194.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Santana do Araguaia,2352.0,2629.0,2639.0,2626.0,5024.0,4453.0,4087.0,3053.0,2193.0,1056.0,343.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
São Félix do Xingu,4647.0,5224.0,5636.0,5725.0,11180.0,10355.0,9142.0,6542.0,3931.0,1680.0,589.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Sapucaia,497.0,528.0,578.0,581.0,1142.0,937.0,807.0,556.0,353.0,171.0,62.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Tucumã,3512.0,3600.0,3426.0,3593.0,7451.0,7072.0,6067.0,3815.0,2541.0,1348.0,458.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Xinguara,4460.0,4634.0,4553.0,4807.0,10375.0,9586.0,8091.0,5385.0,3385.0,1784.0,708.0,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,,,,,,,,,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
Elaboração: FAPESPA,,,,,,,,,,,,2 Araguaia,3,População_por_Faixa_Etária_-_2025_ri_araguaia,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_araguaia.xlsx,Araguaia
