EstadoMunicpios,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,215.0,311.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
RI Araguaia,221.0,3.1433333333333332e+16,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Água Azul do Norte,236.0,36.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Bannach,361.0,336.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,123.0,267.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Cumaru do Norte,21.0,457.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,166.0,282.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,164.0,283.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Pau D'Arco,23.0,318.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Redenção,128.0,211.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Rio Maria,133.0,222.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Santa Maria das Barreiras,237.0,402.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Santana do Araguaia,326.0,342.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
São Félix do Xingu,281.0,361.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Sapucaia,271.0,346.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Tucumã,224.0,289.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Xinguara,225.0,239.0,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Fonte: MEC - INEP,,,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Elaboração: FAPESPA,,,2 Araguaia,10,Distorção idade-série total por nível de Ensino - 2024 ri araguaia,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
